Adresse;StimmArt;Bezirk;Bezirksname;WBezArt;Wahlbezirk;Briefwahlbezirk;AghWkr;BunWkr;OstWest;Datum;Zeit;WberIns;WberA1;WberA1p;WberA2;WberA2p;WberA3;WberA3p;Waehler;Waehlerp;Wahlsch;Wahlschp;Gueltig;Gueltigp;Unguelt;Ungueltp;P01;P01p;P02;P02p;P03;P03p;P04;P04p;P05;P05p;P06;P06p;P07;P07p;P08;P08p;P09;P09p;P10;P10p;P11;P11p;P12;P12p;P13;P13p;P14;P14p;P15;P15p;P16;P16p;P17;P17p;P18;P18p;P19;P19p;P20;P20p;P21;P21p;P22;P22p;P23;P23p;P24;P24p;P25;P25p;P26;P26p;P27;P27p;P28;P28p;P29;P29p;P30;P30p;P31;P31p;P32;P32p;P33;P33p;P34;P34p;P35;P35p;P36;P36p;P37;P37p;P38;P38p;P39;P39p;P40;P40p;P41;P41p;P42;P42p;P43;P43p;P44;P44p;P45;P45p;P46;P46p;P47;P47p;P48;P48p;P49;P49p;P50;P50p;P51;P51p;P52;P52p;P53;P53p;P54;P54p;P55;P55p;P56;P56p;P57;P57p;P58;P58p;P59;P59p;P60;P60p;aufn
01W100;2;01;Mitte;W;100;011A;01;75;W;23.02.12;20:14:54;1650;1071;64,9;579;35,1;0;0,0;432;26,2;0;0,0;428;99,3;3;0,7;68;15,9;102;23,8;112;26,2;28;6,5;23;5,4;40;9,3;9;2,1;8;1,9;3;0,7;0;0,0;0;0,0;2;0,5;1;0,2;1;0,2;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;3;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,5;2;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;10;2,3;12;2,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
01W101;2;01;Mitte;W;101;011B;01;75;O;23.02.12;21:29:39;960;556;57,9;404;42,1;0;0,0;331;34,5;0;0,0;330;99,7;1;0,3;57;17,3;71;21,5;105;31,8;26;7,9;8;2,4;30;9,1;12;3,6;4;1,2;1;0,3;1;0,3;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;1;0,3;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;10;3,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
01W102;2;01;Mitte;W;102;011B;01;75;O;23.02.12;19:35:26;1240;755;60,9;485;39,1;0;0,0;385;31,0;0;0,0;382;99,2;3;0,8;56;14,7;82;21,5;91;23,8;58;15,2;26;6,8;34;8,9;2;0,5;12;3,1;1;0,3;1;0,3;2;0,5;1;0,3;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;2;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;1,0;0;0,0;0;0,0;2;0,5;2;0,5;0;0,0;2;0,5;1;0,3;1;0,3;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
01W103;2;01;Mitte;W;103;011C;01;75;O;23.02.12;19:04:06;1011;593;58,7;418;41,3;0;0,0;276;27,3;0;0,0;276;100,0;0;0,0;42;15,2;58;21,0;79;28,6;28;10,1;11;4,0;34;12,3;2;0,7;4;1,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;1,4;1;0,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;12;4,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
01W104;2;01;Mitte;W;104;011D;01;75;O;23.02.12;19:56:05;1257;787;62,6;470;37,4;0;0,0;512;40,7;0;0,0;511;99,6;2;0,4;97;19,0;105;20,5;150;29,4;54;10,6;15;2,9;45;8,8;2;0,4;8;1,6;1;0,2;1;0,2;0;0,0;1;0,2;0;0,0;2;0,4;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;2;0,4;0;0,0;0;0,0;0;0,0;3;0,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;1;0,2;0;0,0;0;0,0;1;0,2;2;0,4;19;3,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
01W105;2;01;Mitte;W;105;011D;01;75;O;23.02.12;19:43:04;997;668;67,0;329;33,0;0;0,0;387;38,8;0;0,0;383;99,5;2;0,5;78;20,4;80;20,9;100;26,1;46;12,0;24;6,3;27;7,0;4;1,0;6;1,6;3;0,8;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,5;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;7;1,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
01W106;2;01;Mitte;W;106;011E;01;75;O;23.02.12;20:15:50;1437;883;61,4;554;38,6;0;0,0;576;40,1;0;0,0;576;100,0;0;0,0;84;14,6;141;24,5;151;26,2;76;13,2;22;3,8;69;12,0;5;0,9;4;0,7;3;0,5;0;0,0;0;0,0;0;0,0;0;0,0;2;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;6;1,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;2;0,3;0;0,0;3;0,5;7;1,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
01W107;2;01;Mitte;W;107;011F;01;75;O;23.02.12;19:10:05;1084;754;69,6;330;30,4;0;0,0;437;40,3;0;0,0;430;99,1;4;0,9;52;12,1;92;21,4;128;29,8;64;14,9;26;6,0;37;8,6;1;0,2;3;0,7;2;0,5;1;0,2;0;0,0;1;0,2;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,9;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,5;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;14;3,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
01W108;2;01;Mitte;W;108;011E;01;75;O;23.02.12;20:06:25;1052;667;63,4;385;36,6;0;0,0;363;34,5;0;0,0;359;98,9;4;1,1;61;17,0;100;27,9;69;19,2;48;13,4;15;4,2;30;8,4;3;0,8;4;1,1;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;5;1,4;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,6;0;0,0;1;0,3;0;0,0;1;0,3;16;4,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
01W109;2;01;Mitte;W;109;011G;01;75;W;23.02.12;19:15:57;1080;779;72,1;301;27,9;0;0,0;307;28,4;0;0,0;306;99,7;1;0,3;69;22,5;93;30,4;39;12,7;35;11,4;37;12,1;9;2,9;4;1,3;5;1,6;2;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,7;0;0,0;0;0,0;0;0,0;2;0,7;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;1;0,3;1;0,3;0;0,0;2;0,7;0;0,0;1;0,3;3;1,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;
