"Wahlbezirk";"Abteilung";"Anteil"
100;6;1
101;1;1
102;1;1
103;1;1
104;1;1
105;1;1
106;1;0.17
106;3;0.833333333333333
107;2;1
108;3;0.666666666666667
108;2;0.333333333333333
109;17;1
110;1;1
111;1;1
112;2;1
113;1;1
114;1;1
115;2;1
116;2;1
117;1;1
118;1;1
119;1;1
120;1;1
121;1;1
122;1;1
123;1;1
124;6;1
125;1;1
"1A";6;1
"1B";1;1
"1C";1;1
"1D";1;1
"1E";3;0.6
"1E";1;0.4
"1F";2;1
"1G";1;1
"1H";1;1
"1I";1;1
"1J";2;1
"1K";1;1
"1L";1;1
"1M";1;1
200;3;1
201;3;1
202;3;1
203;3;1
204;3;1
205;3;1
206;2;1
207;2;1
208;2;1
209;2;1
210;2;1
211;2;1
212;2;1
213;2;1
214;2;1
215;4;1
216;4;1
217;4;1
218;4;1
219;4;1
220;4;1
221;4;0.9
221;3;0.1
222;3;1
223;4;1
224;4;1
225;4;1
226;4;1
227;4;1
228;4;1
229;4;1
"2A";3;1
"2B";3;1
"2C";3;1
"2D";2;1
"2E";2;1
"2F";2;1
"2G";2;1
"2H";4;1
"2I";4;1
"2J";4;1
"2K";4;0.8
"2K";3;0.2
"2L";4;1
"2M";4;1
"2N";4;1
300;6;1
301;6;0.6
301;8;0.4
302;8;1
303;8;1
304;8;1
305;8;1
306;8;1
307;8;1
308;8;1
309;8;1
310;8;1
311;7;1
312;7;1
313;7;1
314;7;1
315;7;1
316;7;1
317;7;1
318;7;1
319;7;1
320;7;1
321;5;1
322;5;1
323;7;1
324;5;1
325;5;1
326;5;1
327;5;1
"3A";6;0.9
"3A";8;0.1
"3B";8;1
"3C";8;1
"3D";8;1
"3E";8;1
"3F";7;1
"3G";7;1
"3H";7;1
"3I";7;1
"3J";5;1
"3K";5;1
"3L";5;1
400;6;1
401;6;1
402;6;1
403;6;1
404;6;1
405;6;1
406;6;1
407;6;1
408;6;1
409;6;1
410;6;1
411;6;1
412;6;1
413;6;1
414;6;1
415;6;1
416;6;1
417;6;1
418;6;1
419;6;1
420;6;1
421;6;1
422;6;1
423;6;1
424;16;1
425;16;1
426;16;1
427;16;1
428;16;1
"4A";6;1
"4B";6;1
"4C";6;1
"4D";6;1
"4E";6;1
"4F";6;1
"4G";6;1
"4H";6;1
"4I";6;1
"4J";6;1
"4K";6;1
"4L";16;1
"4M";16;1
500;23;1
501;23;1
502;23;1
503;10;1
504;23;1
505;23;1
506;10;1
507;10;1
508;10;1
509;10;1
510;10;1
511;10;1
512;12;1
513;10;1
514;23;1
515;23;1
516;23;1
517;10;1
518;10;1
519;10;1
520;10;1
521;12;1
522;23;1
523;23;1
524;23;1
525;23;1
526;23;1
"5A";23;1
"5B";23;1
"5C";10;1
"5D";10;1
"5E";10;1
"5F";10;1
"5G";12;1
"5H";23;0.4
"5H";10;0.6
"5I";23;1
"5J";10;1
"5K";23;1
"5L";23;1
600;12;1
601;12;1
602;12;1
603;12;1
604;12;1
605;12;1
606;12;1
607;12;1
608;12;1
609;12;1
610;12;1
611;12;1
612;12;1
613;15;1
614;15;1
615;12;1
616;12;1
617;17;1
618;15;1
619;15;1
620;12;1
621;9;1
622;12;1
623;9;1
624;17;1
625;9;1
"6A";12;1
"6B";12;1
"6C";12;1
"6D";12;1
"6E";12;1
"6F";12;1
"6G";12;1
"6H";15;1
"6I";17;1
"6J";15;1
"6K";12;0.5
"6K";9;0.5
"6L";9;0.75
"6L";12;0.25
"6M";17;1
700;10;1
701;10;1
702;9;1
703;9;1
704;16;1
705;16;1
706;16;1
707;16;1
708;16;1
709;16;1
710;9;1
711;16;1
712;9;1
713;9;1
714;9;1
715;17;1
716;17;1
717;17;1
718;17;1
719;17;1
720;17;1
721;17;0.5
721;15;0.5
722;17;1
723;17;1
724;17;1
725;17;1
"7A";10;1
"7B";9;1
"7C";16;1
"7D";16;1
"7E";16;1
"7F";16;0.5
"7F";9;0.5
"7G";9;1
"7H";17;1
"7I";17;1
"7J";17;0.8
"7J";15;0.2
"7K";17;1
"7L";17;1
"7M";17;1
